,seed,rate,loss,categorical_accuracy,categorical_crossentropy
0,0,0.1,0.3209196925163269,0.9261999726295471,0.3209196925163269
1,1,0.1,0.33952343463897705,0.9253000020980835,0.33952343463897705
2,2,0.1,0.3235248029232025,0.9264000058174133,0.3235248029232025
3,3,0.1,0.3242603838443756,0.9265000224113464,0.3242603838443756
4,4,0.1,0.33285683393478394,0.9257000088691711,0.33285683393478394
5,5,0.1,0.29971885681152344,0.9262999892234802,0.29971885681152344
6,6,0.1,0.33209672570228577,0.9269999861717224,0.33209672570228577
7,7,0.1,0.3070255517959595,0.9277999997138977,0.3070255517959595
8,8,0.1,0.30704978108406067,0.9257000088691711,0.30704978108406067
9,9,0.1,0.32320067286491394,0.923799991607666,0.32320067286491394
10,0,0.2,0.3339286744594574,0.9265000224113464,0.3339286744594574
11,1,0.2,0.3318043649196625,0.9277999997138977,0.3318043649196625
12,2,0.2,0.2799939811229706,0.9279000163078308,0.2799939811229706
13,3,0.2,0.32623159885406494,0.9294999837875366,0.32623159885406494
14,4,0.2,0.31218287348747253,0.9294000267982483,0.31218287348747253
15,5,0.2,0.3160567581653595,0.926800012588501,0.3160567581653595
16,6,0.2,0.3249875605106354,0.9269000291824341,0.3249875605106354
17,7,0.2,0.3132771849632263,0.9283000230789185,0.3132771849632263
18,8,0.2,0.26838400959968567,0.9272000193595886,0.26838400959968567
19,9,0.2,0.34500598907470703,0.9266999959945679,0.34500598907470703
20,0,0.3,0.2936536967754364,0.9280999898910522,0.2936536967754364
21,1,0.3,0.2955983877182007,0.9279000163078308,0.2955983877182007
22,2,0.3,0.3148859739303589,0.9271000027656555,0.3148859739303589
23,3,0.3,0.31003472208976746,0.9294999837875366,0.31003472208976746
24,4,0.3,0.27585265040397644,0.927299976348877,0.27585265040397644
25,5,0.3,0.3102348744869232,0.9289000034332275,0.3102348744869232
26,6,0.3,0.29646942019462585,0.9296000003814697,0.29646942019462585
27,7,0.3,0.27242615818977356,0.9272000193595886,0.27242615818977356
28,8,0.3,0.3174126446247101,0.9283999800682068,0.3174126446247101
29,9,0.3,0.3001762330532074,0.9279999732971191,0.3001762330532074
30,0,0.5,0.2892876863479614,0.930400013923645,0.2892876863479614
31,1,0.5,0.29371392726898193,0.9314000010490417,0.29371392726898193
32,2,0.5,0.2813822031021118,0.9301999807357788,0.2813822031021118
33,3,0.5,0.28893616795539856,0.9265000224113464,0.28893616795539856
34,4,0.5,0.29882460832595825,0.9297999739646912,0.29882460832595825
35,5,0.5,0.30549150705337524,0.9289000034332275,0.30549150705337524
36,6,0.5,0.2967090904712677,0.9297000169754028,0.2967090904712677
37,7,0.5,0.28393635153770447,0.9298999905586243,0.28393635153770447
38,8,0.5,0.278666615486145,0.9311000108718872,0.278666615486145
39,9,0.5,0.3064329922199249,0.9322999715805054,0.3064329922199249
