,seed,regularizer,loss,categorical_accuracy,categorical_crossentropy
0,0,L1,1.2800713777542114,0.892799973487854,0.3527051508426666
1,1,L1,0.6026277542114258,0.9100000262260437,0.3059459328651428
2,2,L1,5.522644519805908,0.8409000039100647,0.4776557981967926
3,3,L1,0.5832335352897644,0.911300003528595,0.28853580355644226
4,4,L1,0.5883195400238037,0.90829998254776,0.30420199036598206
5,5,L1,0.5923285484313965,0.9108999967575073,0.2903583347797394
6,6,L1,0.5989972949028015,0.9082000255584717,0.29616615176200867
7,7,L1,0.572062611579895,0.9083999991416931,0.2998192012310028
8,8,L1,3.2089970111846924,0.8730999827384949,0.41064175963401794
9,9,L1,0.5937290191650391,0.9110000133514404,0.2925269901752472
10,0,L2,0.41375091671943665,0.8985000252723694,0.293960303068161
11,1,L2,0.3601433336734772,0.9100000262260437,0.27369263768196106
12,2,L2,0.322604238986969,0.9210000038146973,0.2538219392299652
13,3,L2,0.3362886607646942,0.9136000275611877,0.26079702377319336
14,4,L2,0.323317289352417,0.9153000116348267,0.2612124979496002
15,5,L2,0.3394048511981964,0.9151999950408936,0.27269232273101807
16,6,L2,0.3423554301261902,0.9182999730110168,0.2568947672843933
17,7,L2,0.31844890117645264,0.9208999872207642,0.25775447487831116
18,8,L2,0.3724588453769684,0.9101999998092651,0.26908019185066223
19,9,L2,0.3276086449623108,0.9197999835014343,0.2567347586154938
20,0,L1L2,0.3123137354850769,0.9239000082015991,0.3123137354850769
21,1,L1L2,0.32902106642723083,0.9277999997138977,0.32902106642723083
22,2,L1L2,0.30436238646507263,0.9283999800682068,0.30436238646507263
23,3,L1L2,0.29768282175064087,0.9262999892234802,0.29768282175064087
24,4,L1L2,0.33144640922546387,0.9276000261306763,0.33144640922546387
25,5,L1L2,0.31927725672721863,0.9265000224113464,0.31927725672721863
26,6,L1L2,0.3314259946346283,0.9241999983787537,0.3314259946346283
27,7,L1L2,0.31114524602890015,0.9253000020980835,0.31114524602890015
28,8,L1L2,0.3235732913017273,0.9254999756813049,0.3235732913017273
29,9,L1L2,0.30329692363739014,0.9261000156402588,0.30329692363739014
