,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,0.2539375126361847,0.9363999962806702,0.2539375126361847
1,1,0.29699572920799255,0.930899977684021,0.29699572920799255
2,2,0.289622038602829,0.9319000244140625,0.289622038602829
3,3,0.27627450227737427,0.9348000288009644,0.27627450227737427
4,4,0.31976452469825745,0.9208999872207642,0.31976452469825745
5,5,0.2860320806503296,0.935699999332428,0.2860320806503296
6,6,0.30464333295822144,0.9264000058174133,0.30464333295822144
7,7,0.23280005156993866,0.9395999908447266,0.23280005156993866
8,8,0.28718674182891846,0.9232000112533569,0.28718674182891846
9,9,0.29065534472465515,0.9282000064849854,0.29065534472465515
