,seed,rate,loss,categorical_accuracy,categorical_crossentropy
0,0,0.1,0.30411580204963684,0.9269999861717224,0.30411580204963684
1,1,0.1,0.30126050114631653,0.9251000285148621,0.30126050114631653
2,2,0.1,0.3151593804359436,0.9229999780654907,0.3151593804359436
3,3,0.1,0.30028221011161804,0.9290000200271606,0.30028221011161804
4,4,0.1,0.31004881858825684,0.9282000064849854,0.31004881858825684
5,5,0.1,0.2726115882396698,0.9254000186920166,0.2726115882396698
6,6,0.1,0.27045920491218567,0.9240000247955322,0.27045920491218567
7,7,0.1,0.2998233139514923,0.9298999905586243,0.2998233139514923
8,8,0.1,0.3142561614513397,0.9284999966621399,0.3142561614513397
9,9,0.1,0.3122110068798065,0.9261000156402588,0.3122110068798065
10,0,0.2,0.30568063259124756,0.9235000014305115,0.30568063259124756
11,1,0.2,0.26504042744636536,0.9287999868392944,0.26504042744636536
12,2,0.2,0.2756827771663666,0.9258999824523926,0.2756827771663666
13,3,0.2,0.2778075933456421,0.9272000193595886,0.2778075933456421
14,4,0.2,0.2653510868549347,0.9275000095367432,0.2653510868549347
15,5,0.2,0.2559235990047455,0.9248999953269958,0.2559235990047455
16,6,0.2,0.2491035908460617,0.9251999855041504,0.2491035908460617
17,7,0.2,0.2637088894844055,0.9257000088691711,0.2637088894844055
18,8,0.2,0.2877010405063629,0.9244999885559082,0.2877010405063629
19,9,0.2,0.25459831953048706,0.9223999977111816,0.25459831953048706
20,0,0.3,0.25871649384498596,0.9289000034332275,0.25871649384498596
21,1,0.3,0.24847300350666046,0.9273999929428101,0.24847300350666046
22,2,0.3,0.23788408935070038,0.9265999794006348,0.23788408935070038
23,3,0.3,0.2395351529121399,0.9279999732971191,0.2395351529121399
24,4,0.3,0.22676125168800354,0.9258999824523926,0.22676125168800354
25,5,0.3,0.2671719193458557,0.925599992275238,0.2671719193458557
26,6,0.3,0.23965473473072052,0.9282000064849854,0.23965473473072052
27,7,0.3,0.25115376710891724,0.9279000163078308,0.25115376710891724
28,8,0.3,0.24036657810211182,0.927299976348877,0.24036657810211182
29,9,0.3,0.2619141936302185,0.9272000193595886,0.2619141936302185
30,0,0.5,0.2231644093990326,0.9233999848365784,0.2231644093990326
31,1,0.5,0.21515212953090668,0.9283000230789185,0.21515212953090668
32,2,0.5,0.21535684168338776,0.9261000156402588,0.21535684168338776
33,3,0.5,0.22146748006343842,0.9259999990463257,0.22146748006343842
34,4,0.5,0.21467731893062592,0.9279999732971191,0.21467731893062592
35,5,0.5,0.2177819162607193,0.9264000058174133,0.2177819162607193
36,6,0.5,0.21153411269187927,0.9282000064849854,0.21153411269187927
37,7,0.5,0.2228039801120758,0.9236000180244446,0.2228039801120758
38,8,0.5,0.21632273495197296,0.9235000014305115,0.21632273495197296
39,9,0.5,0.22575046122074127,0.9232000112533569,0.22575046122074127
