,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,0.36616453528404236,0.9327999949455261,0.36616453528404236
1,1,0.3591325581073761,0.9348999857902527,0.3591325581073761
2,2,0.29784825444221497,0.9408000111579895,0.29784825444221497
3,3,0.31638023257255554,0.9329000115394592,0.31638023257255554
4,4,0.2996216118335724,0.9377999901771545,0.2996216118335724
5,5,0.29284387826919556,0.9426000118255615,0.29284387826919556
6,6,0.38141390681266785,0.9305999875068665,0.38141390681266785
7,7,0.35004737973213196,0.9322999715805054,0.35004737973213196
8,8,0.4652468264102936,0.9199000000953674,0.4652468264102936
9,9,0.37321481108665466,0.9334999918937683,0.37321481108665466
