,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,0.3216990828514099,0.9229999780654907,0.3216990828514099
1,1,0.34596922993659973,0.9230999946594238,0.34596922993659973
2,2,0.3344919681549072,0.9243999719619751,0.3344919681549072
3,3,0.3535839915275574,0.9240999817848206,0.3535839915275574
4,4,0.38925719261169434,0.9240999817848206,0.38925719261169434
5,5,0.29907771944999695,0.9240999817848206,0.29907771944999695
6,6,0.3412037491798401,0.925599992275238,0.3412037491798401
7,7,0.3533545732498169,0.9229999780654907,0.3533545732498169
8,8,0.3319200873374939,0.9229000210762024,0.3319200873374939
9,9,0.3558104932308197,0.9197999835014343,0.3558104932308197
